                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5115,                 2.1838,                 1.5021,                0.56606,                0.77244,                 0.6621,                0.39175,                 1.3029,                 3.0356,                 1.4118,             0.00015554,             0.00015554,             0.00015554
                      2,                 1.1686,                  1.081,                 1.3021,                0.91082,                0.96318,                0.96197,                0.74732,                0.67604,                 1.1937,                 1.0443,               0.000319,               0.000319,               0.000319
                      3,                0.94278,                0.83968,                 1.1424,                0.38928,                0.59917,                0.57202,                0.49315,                0.67186,                 2.8734,                 1.0451,             0.00047916,             0.00047916,             0.00047916
                      4,                0.82235,                0.68961,                 1.1088,                0.00056,                0.01263,                0.00027,                  7e-05,                 3.8636,                    inf,                 4.9474,             0.00063602,             0.00063602,             0.00063602
                      5,                0.86947,                0.65143,                 1.1197,                0.35168,                0.44982,                0.39721,                0.18113,                  1.488,                 2.5554,                 1.6109,             0.00078958,             0.00078958,             0.00078958
                      6,                0.85628,                0.71846,                 1.1656,                0.60108,                0.01895,                0.00043,                0.00035,                 2.5025,                  24.65,                 2.4175,             0.00093984,             0.00093984,             0.00093984
                      7,                 0.9909,                0.67411,                 1.2284,                0.12309,                0.02525,                0.06564,                0.06442,                 3.8012,                 39.198,                 6.0685,               0.001045,               0.001045,               0.001045
                      8,                0.89983,                0.64936,                 1.2083,                0.02895,                0.04734,                0.01509,                0.01368,                 2.0267,                    inf,                 3.8112,               0.001045,               0.001045,               0.001045
                      9,                0.79376,                0.64527,                   1.18,                0.88066,                0.90468,                0.94679,                0.30604,                 1.9953,                 1.1419,                 2.6323,               0.001034,               0.001034,               0.001034
                     10,                0.92747,                0.60997,                 1.2226,                0.92224,                0.58803,                0.70317,                0.53825,                 1.1175,                 1.2094,                 1.5476,               0.001023,               0.001023,               0.001023
                     11,                0.84709,                0.60014,                  1.144,                0.70125,                0.55773,                0.50996,                0.41854,                 1.1351,                 4.4082,                 1.5502,               0.001012,               0.001012,               0.001012
                     12,                0.90249,                0.59725,                 1.1916,                 0.8918,                0.75077,                0.88708,                0.67935,                0.90981,                  1.001,                 1.2432,               0.001001,               0.001001,               0.001001
                     13,                0.88315,                0.59324,                 1.1553,                0.92091,                0.67875,                0.84209,                0.70544,                0.67386,                 0.9919,                 1.0931,             0.00099001,             0.00099001,             0.00099001
                     14,                0.73803,                0.54852,                 1.0572,                0.95953,                0.97778,                0.99153,                 0.8577,                0.56739,                0.50641,                 1.0003,             0.00097901,             0.00097901,             0.00097901
                     15,                0.75262,                0.54649,                 1.0758,                0.98106,                 0.9894,                0.99377,                0.90161,                0.43293,                0.30194,                0.91255,             0.00096801,             0.00096801,             0.00096801
                     16,                0.74713,                0.54512,                 1.1268,                0.97936,                0.99068,                0.99289,                0.88729,                0.48179,                0.31896,                0.93979,             0.00095702,             0.00095702,             0.00095702
                     17,                  0.675,                0.50222,                 1.0542,                 0.9864,                0.98855,                0.99357,                0.90938,                0.43537,                0.28847,                0.90235,             0.00094602,             0.00094602,             0.00094602
                     18,                0.70294,                0.47982,                 1.0407,                0.97877,                0.99292,                0.99436,                0.91209,                0.40505,                0.27609,                0.88821,             0.00093502,             0.00093502,             0.00093502
                     19,                0.67364,                0.46058,                 1.0266,                0.98266,                0.98999,                 0.9942,                0.89623,                 0.4557,                0.29455,                 0.9066,             0.00092402,             0.00092402,             0.00092402
                     20,                 0.6648,                0.43554,                 1.0513,                0.97706,                 0.9918,                0.99446,                0.91887,                0.40732,                0.25933,                0.89116,             0.00091302,             0.00091302,             0.00091302
                     21,                0.67397,                 0.4441,                  1.029,                0.97245,                0.99046,                0.99256,                0.91958,                0.39393,                0.29261,                0.88206,             0.00090202,             0.00090202,             0.00090202
                     22,                0.63372,                  0.423,                 1.0085,                0.96473,                0.99498,                0.99391,                0.91997,                0.39775,                 0.2658,                0.88385,             0.00089102,             0.00089102,             0.00089102
                     23,                0.67804,                0.43308,                 1.0447,                0.96911,                0.98721,                0.99366,                0.92046,                0.38867,                0.28487,                0.87633,             0.00088002,             0.00088002,             0.00088002
                     24,                0.67836,                0.44253,                 1.0445,                0.98626,                0.98214,                 0.9923,                0.90395,                0.42735,                0.30419,                0.89937,             0.00086902,             0.00086902,             0.00086902
                     25,                0.68746,                0.43492,                 1.0238,                0.97212,                0.98095,                 0.9905,                0.91688,                0.39786,                0.29871,                0.88259,             0.00085803,             0.00085803,             0.00085803
                     26,                0.67044,                0.46166,                 1.0361,                0.98117,                0.99413,                0.99324,                 0.9156,                0.41368,                0.29809,                0.88821,             0.00084703,             0.00084703,             0.00084703
                     27,                 0.6667,                0.44104,                 1.0321,                0.97737,                0.99467,                 0.9907,                0.90388,                0.40952,                0.27761,                0.89047,             0.00083603,             0.00083603,             0.00083603
                     28,                0.65875,                0.42985,                0.99661,                0.95682,                0.99508,                0.98533,                0.91318,                0.41019,                0.31592,                 0.8877,             0.00082503,             0.00082503,             0.00082503
                     29,                0.67181,                0.42566,                 1.0949,                0.97684,                0.99737,                 0.9918,                0.91986,                0.39618,                0.28473,                0.88314,             0.00081403,             0.00081403,             0.00081403
                     30,                0.63901,                0.40081,                 1.0284,                0.97309,                0.98722,                0.99117,                0.91846,                0.40725,                  0.258,                0.88793,             0.00080303,             0.00080303,             0.00080303
                     31,                0.65728,                0.39127,                 1.0348,                0.97724,                0.98259,                0.99046,                0.92059,                 0.3946,                0.27594,                0.87909,             0.00079203,             0.00079203,             0.00079203
                     32,                0.62923,                0.40283,                 1.0279,                0.97793,                0.98626,                0.99283,                0.93664,                0.36881,                0.24574,                0.86827,             0.00078103,             0.00078103,             0.00078103
                     33,                0.56452,                0.37206,                0.95979,                0.98367,                0.97888,                0.99235,                0.92697,                0.38644,                0.25252,                0.87712,             0.00077003,             0.00077003,             0.00077003
                     34,                0.55147,                0.36939,                0.96214,                0.97555,                 0.9853,                0.99327,                0.92721,                0.39197,                0.25285,                0.87372,             0.00075904,             0.00075904,             0.00075904
                     35,                0.55906,                0.38869,                 0.9787,                0.98657,                0.98551,                  0.994,                0.93062,                0.39763,                0.23517,                0.88299,             0.00074804,             0.00074804,             0.00074804
                     36,                0.57166,                0.37714,                0.98298,                0.98844,                0.98433,                0.99307,                0.93094,                0.38711,                0.23919,                0.87806,             0.00073704,             0.00073704,             0.00073704
                     37,                0.53202,                0.35376,                0.95363,                 0.9694,                0.98605,                0.99279,                0.92503,                 0.3854,                0.24833,                0.87162,             0.00072604,             0.00072604,             0.00072604
                     38,                0.58159,                0.37001,                 1.0076,                0.97837,                0.99092,                0.99374,                0.92147,                 0.4022,                0.24842,                0.88199,             0.00071504,             0.00071504,             0.00071504
                     39,                0.54521,                 0.3771,                0.96574,                0.97862,                0.99474,                 0.9934,                0.92651,                0.40145,                0.23534,                0.88146,             0.00070404,             0.00070404,             0.00070404
                     40,                0.55086,                0.34766,                0.96773,                 0.9852,                0.99083,                0.99282,                0.89809,                0.48846,                0.24235,                0.92311,             0.00069304,             0.00069304,             0.00069304
                     41,                0.56547,                0.37896,                0.98721,                 0.9838,                0.99579,                0.99244,                0.91431,                0.43252,                 0.2431,                0.89757,             0.00068204,             0.00068204,             0.00068204
                     42,                0.54654,                0.33998,                0.95515,                0.98746,                  0.993,                0.99462,                0.93055,                 0.3828,                0.22594,                0.87484,             0.00067104,             0.00067104,             0.00067104
                     43,                0.53885,                0.35567,                 0.9413,                0.98702,                0.98554,                0.99457,                0.93528,                0.37877,                0.22568,                0.87175,             0.00066005,             0.00066005,             0.00066005
                     44,                0.54312,                 0.3737,                0.96501,                0.98758,                0.99159,                0.99459,                0.94372,                 0.3647,                0.21502,                0.86584,             0.00064905,             0.00064905,             0.00064905
                     45,                0.56887,                0.36235,                0.97717,                0.98304,                0.99845,                0.99439,                0.92986,                0.38592,                0.22728,                 0.8726,             0.00063805,             0.00063805,             0.00063805
                     46,                0.56916,                0.35073,                0.96793,                 0.9855,                0.98844,                0.99426,                0.92372,                0.40904,                 0.2388,                0.88363,             0.00062705,             0.00062705,             0.00062705
                     47,                0.55484,                0.33673,                0.94553,                0.97952,                0.99114,                0.99432,                0.93012,                0.38638,                0.22827,                0.87598,             0.00061605,             0.00061605,             0.00061605
                     48,                0.59067,                0.35177,                0.97809,                 0.9846,                0.98822,                 0.9943,                0.93231,                0.37741,                0.21644,                0.87376,             0.00060505,             0.00060505,             0.00060505
                     49,                0.56239,                0.33112,                0.97585,                0.98397,                0.99088,                0.99369,                0.92959,                0.38092,                 0.2166,                0.87741,             0.00059405,             0.00059405,             0.00059405
                     50,                0.54135,                 0.3291,                0.93857,                  0.985,                0.99576,                0.99283,                0.92967,                0.37115,                0.21478,                0.86864,             0.00058305,             0.00058305,             0.00058305
                     51,                0.57085,                0.32621,                0.98494,                0.98554,                0.99204,                0.99433,                0.93545,                0.37713,                0.21934,                0.87089,             0.00057205,             0.00057205,             0.00057205
                     52,                0.49021,                0.31562,                0.91887,                0.98718,                0.98753,                0.99315,                0.92083,                0.41096,                0.23859,                0.88307,             0.00056105,             0.00056105,             0.00056105
                     53,                0.56155,                0.33464,                 1.0323,                0.98554,                0.98619,                0.99271,                0.92468,                0.37725,                0.22692,                 0.8682,             0.00055006,             0.00055006,             0.00055006
                     54,                0.54426,                0.33429,                 1.0118,                0.98061,                0.99351,                0.99337,                0.92412,                0.37781,                0.23117,                0.87079,             0.00053906,             0.00053906,             0.00053906
                     55,                0.60069,                0.35559,                  1.149,                0.98924,                0.98351,                0.99357,                0.93829,                0.37046,                0.22322,                0.86818,             0.00052806,             0.00052806,             0.00052806
                     56,                0.50014,                0.37179,                0.93012,                0.98439,                0.98595,                0.99303,                0.92871,                0.38638,                 0.2315,                0.87132,             0.00051706,             0.00051706,             0.00051706
                     57,                0.49923,                 0.3175,                0.93285,                0.98292,                0.98422,                0.99277,                0.93203,                0.37231,                0.21815,                0.86748,             0.00050606,             0.00050606,             0.00050606
                     58,                0.52523,                0.32158,                0.94387,                0.98942,                0.98734,                0.99249,                0.93734,                0.36127,                0.21936,                0.86579,             0.00049506,             0.00049506,             0.00049506
                     59,                0.52914,                0.32223,                0.95053,                0.98913,                0.98791,                0.99318,                0.93802,                0.37471,                0.21797,                0.87203,             0.00048406,             0.00048406,             0.00048406
                     60,                0.49589,                 0.3058,                0.93173,                0.98943,                0.98806,                0.99307,                0.92843,                0.37812,                0.21942,                0.87022,             0.00047306,             0.00047306,             0.00047306
                     61,                0.48003,                0.30484,                 0.9137,                 0.9882,                0.98616,                0.99293,                0.94041,                0.35033,                0.20272,                0.86006,             0.00046206,             0.00046206,             0.00046206
                     62,                0.51525,                0.32276,                0.94911,                0.98406,                0.99467,                0.99293,                0.94067,                0.35375,                0.21083,                0.85962,             0.00045107,             0.00045107,             0.00045107
                     63,                0.54412,                0.34843,                0.98293,                0.98314,                0.99324,                0.99323,                  0.933,                0.37816,                0.21424,                0.86848,             0.00044007,             0.00044007,             0.00044007
                     64,                0.55747,                0.33862,                 1.0682,                0.98314,                0.98949,                0.99302,                0.93932,                0.35521,                 0.2079,                0.86019,             0.00042907,             0.00042907,             0.00042907
                     65,                0.51716,                0.31265,                0.95855,                0.98422,                0.99026,                0.99276,                0.93926,                0.35725,                 0.2103,                0.86452,             0.00041807,             0.00041807,             0.00041807
                     66,                0.48624,                0.29459,                0.93013,                0.98606,                0.98785,                0.99302,                0.93969,                0.35585,                0.19867,                0.86191,             0.00040707,             0.00040707,             0.00040707
                     67,                0.47554,                0.29144,                0.90509,                0.98354,                0.99022,                0.99346,                0.94081,                0.35842,                0.20184,                0.86317,             0.00039607,             0.00039607,             0.00039607
                     68,                0.49193,                0.30133,                0.91994,                0.98595,                0.99109,                0.99278,                0.93776,                0.35801,                0.19977,                0.86147,             0.00038507,             0.00038507,             0.00038507
                     69,                0.46842,                0.29427,                0.90944,                0.98932,                0.98487,                0.99285,                0.92316,                0.38913,                 0.2142,                0.87286,             0.00037407,             0.00037407,             0.00037407
                     70,                0.52546,                0.31784,                0.99676,                0.99033,                0.98348,                  0.993,                0.93452,                0.36213,                0.20786,                0.86351,             0.00036307,             0.00036307,             0.00036307
                     71,                0.47338,                0.30634,                0.91466,                0.98227,                0.98189,                0.99326,                0.93616,                0.35986,                0.21201,                 0.8622,             0.00035208,             0.00035208,             0.00035208
                     72,                0.59811,                0.35828,                 1.1718,                0.98664,                 0.9857,                0.99335,                0.92834,                 0.3895,                0.21472,                0.87529,             0.00034108,             0.00034108,             0.00034108
                     73,                0.50291,                0.30341,                0.98001,                 0.9874,                0.98775,                0.99368,                0.93744,                0.36808,                0.20933,                0.86506,             0.00033008,             0.00033008,             0.00033008
                     74,                0.47216,                0.29434,                0.91387,                0.98716,                0.98926,                0.99339,                0.93776,                0.35262,                0.21398,                0.85913,             0.00031908,             0.00031908,             0.00031908
                     75,                0.47583,                 0.3032,                0.92065,                0.98678,                0.98358,                0.99341,                0.93731,                0.35838,                0.20429,                0.86075,             0.00030808,             0.00030808,             0.00030808
                     76,                0.44505,                0.28676,                0.90677,                0.98339,                0.98738,                0.99308,                0.93591,                0.35972,                0.21255,                0.86377,             0.00029708,             0.00029708,             0.00029708
                     77,                0.44209,                0.34117,                0.90568,                0.97916,                0.99154,                0.99299,                0.93701,                0.35018,                0.21105,                0.85989,             0.00028608,             0.00028608,             0.00028608
                     78,                0.47106,                0.29093,                0.92832,                0.94981,                0.98885,                0.99214,                 0.9428,                0.35306,                0.24195,                0.85994,             0.00027508,             0.00027508,             0.00027508
                     79,                0.48215,                0.29094,                0.92932,                0.98014,                0.99009,                  0.993,                0.93664,                0.35264,                0.20031,                 0.8597,             0.00026408,             0.00026408,             0.00026408
                     80,                 0.4721,                0.29405,                0.91848,                0.98961,                0.98261,                0.99332,                0.93398,                0.36755,                0.20213,                0.86649,             0.00025309,             0.00025309,             0.00025309
                     81,                0.45801,                0.28762,                0.91724,                0.98929,                0.98307,                0.99314,                0.94341,                0.35345,                0.20349,                0.86168,             0.00024209,             0.00024209,             0.00024209
                     82,                0.49317,                0.30195,                0.93584,                0.98986,                0.98357,                0.99285,                0.94707,                0.35241,                0.19585,                 0.8589,             0.00023109,             0.00023109,             0.00023109
                     83,                 0.4611,                0.28015,                0.92983,                0.99036,                0.98414,                0.99346,                0.94105,                0.35261,                0.19679,                0.85842,             0.00022009,             0.00022009,             0.00022009
                     84,                0.45989,                0.27273,                0.90584,                 0.9864,                  0.984,                0.99374,                0.93927,                0.35115,                0.19532,                0.85799,             0.00020909,             0.00020909,             0.00020909
                     85,                 0.4919,                0.30323,                0.96298,                 0.9867,                0.98178,                0.99335,                0.93727,                0.35568,                 0.1993,                0.85962,             0.00019809,             0.00019809,             0.00019809
                     86,                0.47698,                 0.2786,                0.92397,                0.98726,                0.98197,                0.99372,                0.93236,                0.37009,                0.20677,                0.86835,             0.00018709,             0.00018709,             0.00018709
                     87,                0.48795,                0.29932,                0.99033,                0.98608,                0.98533,                0.99399,                0.93584,                0.35144,                0.19197,                0.85832,             0.00017609,             0.00017609,             0.00017609
                     88,                0.45736,                0.27985,                0.92373,                0.98653,                  0.984,                0.99405,                0.93571,                0.36216,                0.19631,                0.86408,             0.00016509,             0.00016509,             0.00016509
                     89,                0.42179,                0.26819,                0.89571,                0.98633,                  0.984,                0.99362,                0.93867,                0.35785,                0.19254,                0.86215,              0.0001541,              0.0001541,              0.0001541
                     90,                0.48104,                0.28429,                0.95696,                0.98778,                0.98588,                 0.9937,                0.94141,                0.34764,                0.18403,                0.85774,              0.0001431,              0.0001431,              0.0001431
                     91,                0.49633,                0.26516,                 1.0015,                0.98663,                 0.9867,                0.99336,                 0.9405,                0.34548,                0.18597,                0.85578,              0.0001321,              0.0001321,              0.0001321
                     92,                0.52417,                0.27865,                 1.0572,                0.98864,                 0.9867,                0.99303,                0.93539,                0.35397,                0.18983,                0.85965,              0.0001211,              0.0001211,              0.0001211
                     93,                0.42367,                0.24872,                0.91299,                0.98979,                0.98726,                0.99316,                0.94208,                0.34578,                0.18068,                0.85728,              0.0001101,              0.0001101,              0.0001101
                     94,                0.49483,                0.24605,                 1.0106,                0.98574,                0.99196,                0.99298,                0.94097,                0.34577,                0.18863,                0.85701,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 0.4489,                0.24036,                0.91692,                0.97911,                0.99196,                0.99271,                0.93775,                0.35009,                0.19023,                0.85955,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.44609,                0.24495,                0.95097,                 0.9816,                 0.9914,                0.99227,                0.93875,                0.36018,                 0.1986,                 0.8633,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.41103,                0.23521,                 0.9126,                0.98057,                0.98926,                0.99211,                0.93267,                 0.3681,                0.20075,                0.86627,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.48741,                 0.2516,                 1.0363,                0.98608,                0.98926,                0.99277,                0.92909,                0.37525,                 0.1983,                0.86959,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.42063,                0.21969,                0.91995,                0.98985,                0.98926,                0.99322,                0.93523,                 0.3621,                0.18979,                0.86428,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.45405,                 0.2391,                 0.9869,                0.99181,                0.98582,                 0.9933,                0.94064,                0.35272,                0.18557,                0.86006,             3.3108e-05,             3.3108e-05,             3.3108e-05
